winner_name,constituency,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
WILLIAM CHEPTUMO KIPKIROR,BARINGO NORTH,BARINGO,JP,173,173,35.72,12493,0,34971,529,42774
JOSHUA CHEPYEGON KANDIE,BARINGO CENTRAL,BARINGO,MCCP,135,135,48.1,15171,13,31543,328,38388
GRACE JELAGAT KIPCHOIM,BARINGO SOUTH,BARINGO,JP,132,132,37.28,10598,3,28429,300,35162
MOSES K LESSONET,ELDAMA RAVINE,BARINGO,JP,154,154,46.65,20669,0,44304,955,54742
DANIEL KAMUREN TUITOEK,MOGOTIO,BARINGO,JP,155,155,53.58,14751,92,27529,384,32276
WILLIAM KAMKET KASSAIT,TIATY,BARINGO,KANU,143,143,61.51,14417,1,23438,934,28916
RONALD KIPROTICH TONUI,BOMET CENTRAL,BOMET,JP,126,126,85.08,41928,0,49279,1154,60115
BEATRICE PAULINE CHERONO KONES,BOMET EAST,BOMET,JP,115,115,53.57,22796,0,42553,1510,52862
GIDEON KIMUTAI KOSKE,CHEPALUNGU,BOMET,CCM,160,160,33.96,19428,1,57205,1073,68544
YEGON BRIGHTON LEONARD,KONOIN,BOMET,JP,156,156,63.12,33836,0,53606,339,67177
DOMINIC KIPKOECH KOSKEI,SOTIK,BOMET,JP,171,171,66.09,39918,0,60395,1825,73314
MOSES WEKESA MWAMBU MABONGA,BUMULA,BUNGOMA,IND,148,148,34.34,18658,1,54332,1407,70683
JAMES LUSWETI MUKWE,KABUCHAI,BUNGOMA,FORD-KENYA,123,123,42.37,18543,0,43761,450,57476
ATHANAS  MISIKO WAFULA WAMUNYINYI,KANDUYI,BUNGOMA,FORD-KENYA,204,204,42.87,33507,22,78155,1627,105565
DIDMUS WEKESA BARASA MUTUA,KIMILILI,BUNGOMA,JP,107,107,51.26,19618,0,38272,424,52268
FRED KAPONDI CHESEBE,MT. ELGON,BUNGOMA,JP,152,152,49.29,25000,0,50716,493,66220
JOHN  WALUKE KOYI,SIRISIA,BUNGOMA,JP,99,99,58.44,18077,1,30934,799,40940
DAVID ESELI SIMIYU,TONGAREN,BUNGOMA,FORD-KENYA,164,164,60.19,33869,3,56274,586,73969
BERNARD ALFRED WEKESA SAMBU,WEBUYE EAST,BUNGOMA,ANC,93,93,36.57,11532,0,31530,337,42263
DANIEL WANYAMA SITATI,WEBUYE WEST,BUNGOMA,JP,96,96,40.9,15149,0,37043,1526,50466
RAPHAEL BITTA  SAUTI WANJALA,BUDALANGI,BUSIA,ODM,84,84,44.43,13494,6,30374,227,38417
JOSEPH H MAERO OYULA,BUTULA,BUSIA,ODM,120,120,29.12,13275,22,45589,467,57685
WILBERFORCE OJIAMBO OUNDO,FUNYULA,BUSIA,ODM,99,99,60.98,21597,5,35417,328,44671
GEOFFREY MAKOKHA ODANGA,MATAYOS,BUSIA,ODM,117,117,51.88,22895,1,44132,1137,56841
SAKWA JOHN BUNYASI,NAMBALE,BUSIA,ANC,86,86,47.11,15639,1,33194,279,42259
EDWARD OKU KAUNYA,TESO NORTH,BUSIA,ANC,118,118,37.28,14462,28,38796,2015,49833
GEOFFREY OMUSE,TESO SOUTH,BUSIA,ODM,136,136,46.49,22747,4,48932,352,61342
JAMES KIPKOSGEI MURGOR,KEIYO NORTH,ELGEYO/MARAKWET,JP,103,103,50.1,16827,7,33584,195,41367
DANIEL KIPKOGEI RONO,KEIYO SOUTH,ELGEYO/MARAKWET,JP,148,149,78.56,33726,0,42928,370,54050
DAVID KANGOGO BOWEN,MARAKWET EAST,ELGEYO/MARAKWET,JP,141,142,49.25,14626,0,29699,81,36428
WILLIAM KIPKEMOI KISANG,MARAKWET WEST,ELGEYO/MARAKWET,JP,134,135,60.32,23450,3,38878,198,48819
JOHN MUCHIRI NYAGA,MANYATTA,EMBU,JP,226,226,42.63,34318,460,80511,1379,99339
CHARLES MURIUKI NJAGAGUA,MBEERE NORTH,EMBU,JP,122,122,61.9,26067,5,42114,1066,51009
GEOFFREY KINGAGI MUTURI,MBEERE SOUTH,EMBU,JP,177,177,31.47,18225,6,57920,1702,72143
ERIC MUCHANGI NJIRU,RUNYENJES,EMBU,JP,185,185,85.39,60097,4,70379,1922,86977
ABDI OMAR SHURIE,BALAMBALA,GARISSA,JP,53,53,63.85,8901,0,13941,879,20145
MOHAMED DAHIR DUALE,DADAAB,GARISSA,KANU,56,56,53.0,9515,5,17952,642,25762
ABDIKHAIM OSMAN MOHAMED,FAFI,GARISSA,KANU,61,61,44.88,5906,5,13160,433,19883
ADEN BARE DUALE,GARISSA TOWNSHIP,GARISSA,JP,96,97,58.25,21005,7,36058,2023,54291
SOPHIA ABDI NOOR,IJARA,GARISSA,PDR,65,68,34.75,5899,0,16975,420,22722
MOHAMED HIRE GARANE,LAGDERA,GARISSA,KANU,46,46,38.47,5283,0,13734,251,20547
GEORGE PETER OPONDO KALUMA,HOMA BAY TOWN,HOMA BAY,ODM,105,105,62.49,26746,28,42802,202,50570
EVE AKINYI OBARA,KABONDO KASIPUL,HOMA BAY,ODM,105,105,65.64,27467,2,41846,157,49432
ANDREW ADIPO OKUOME,KARACHUONYO,HOMA BAY,ODM,183,184,84.96,58366,1,68700,780,84004
CHARLES ONG'ONDO WERE,KASIPUL,HOMA BAY,ODM,113,113,72.68,34538,1,47520,266,57344
MARTIN PETERS OWINO,NDHIWA,HOMA BAY,ODM,182,185,73.22,52049,2,71082,735,85056
LILIAN ACHIENG GOGO,RANGWE,HOMA BAY,ODM,118,118,54.37,23998,0,44135,464,52516
MILLIE GRACE AKOTH ODHIAMBO,SUBA NORTH,HOMA BAY,ODM,139,139,61.2,27208,9,44457,1179,51454
MBADI JOHN NG'ONGO,SUBA SOUTH,HOMA BAY,ODM,113,113,52.25,20649,5,39522,714,46499
HASSAN ODA HULUFO,ISIOLO NORTH,ISIOLO,KPP,140,140,31.66,12506,450,39497,1377,56253
ABDI KOROPU TEPO,ISIOLO SOUTH,ISIOLO,KPP,55,55,25.17,3676,0,14603,68,19085
ELIJAH MEMUSI KANCHORY,KAJIADO CENTRAL,KAJIADO,ODM,125,125,47.42,23091,1,48694,907,56434
PERIS PESI TOBIKO,KAJIADO EAST,KAJIADO,JP,184,184,52.31,39944,4,76366,694,102804
JOSEPH WATHIGO MANJE,KAJIADO NORTH,KAJIADO,JP,201,201,65.73,63639,1,96818,4159,127953
METITO JUDAH KATOO,KAJIADO SOUTH,KAJIADO,JP,139,139,64.61,31627,0,48951,211,59976
GEORGE RISA SUNKUYIA,KAJIADO WEST,KAJIADO,JP,148,148,34.29,18724,0,54599,1142,64026
NICHOLAS  SCOTT TINDI MWALE,BUTERE,KAKAMEGA,ANC,124,124,38.35,18021,10,46995,908,62956
BENARD MASAKA SHINALI,IKOLOMANI,KAKAMEGA,JP,103,103,43.65,15898,5,36424,774,49899
CHRISTOPHER ASEKA WANGAYA,KHWISERO,KAKAMEGA,ANC,105,105,60.54,22584,5,37305,260,48920
ENOCH WAMALWA KIBUNGUCHY,LIKUYANI,KAKAMEGA,FORD-KENYA,120,120,34.19,16010,2,46827,665,63311
AYUB SAVULA ANGATIA,LUGARI,KAKAMEGA,ANC,159,159,71.99,41221,1,57260,1601,77001
TITUS KHAMALA MUKHWANA,LURAMBI,KAKAMEGA,ANC,166,166,43.3,25740,0,59445,3369,80037
MOSES MALULU INJENDI,MALAVA,KAKAMEGA,JP,160,160,33.7,20582,5,61072,1529,82136
JUSTUS  MURUNGA MAKOKHA,MATUNGU,KAKAMEGA,ANC,115,115,38.03,18088,0,47562,1319,61728
BENJAMIN JOMO WASHIALI,MUMIAS EAST,KAKAMEGA,JP,90,91,40.5,13849,5,34191,434,45380
JOHNSON MANYA NAICCA,MUMIAS WEST,KAKAMEGA,ODM,92,92,48.98,17216,0,35150,1340,47492
EMMANUEL WANGWE,NAVAKHOLO,KAKAMEGA,JP,118,118,45.02,17876,2,39704,475,53620
JUSTUS GESITO MUGALI M'MBAYA,SHINYALU,KAKAMEGA,ODM,144,144,39.58,20381,0,51493,453,71256
SYLVANUS MARITIM,AINAMOI,KERICHO,JP,149,149,56.79,33057,0,58210,380,75521
NELSON KOECH,BELGUT,KERICHO,JP,127,127,63.45,34353,0,54146,303,67599
JAPHETH KIPLANGAT MUTAI,BURETI,KERICHO,JP,177,177,68.31,46916,0,68676,1307,82417
KIRUI JOSEPH LIMO,KIPKELION EAST,KERICHO,JP,119,119,61.44,27267,0,44377,259,56486
HILARY KIPLANG'AT KOSGEI,KIPKELION WEST,KERICHO,JP,106,106,64.36,24403,0,37918,582,46512
BENARD KIPSENGERET KOROS,SIGOWET/SOIN,KERICHO,IND,102,102,51.42,20284,0,39450,170,47133
ANNIE WANJIKU KIBEH,GATUNDU NORTH,KIAMBU,JP,126,126,66.32,39448,0,59482,761,67598
MOSES KIARIE KURIA,GATUNDU SOUTH,KIAMBU,JP,140,140,91.64,60867,0,66422,1350,75858
GABRIEL KAGO MUKUHA,GITHUNGURI,KIAMBU,JP,174,174,89.18,77407,1,86801,950,99384
FRANCIS MUNYUA WAITITU,JUJA,KIAMBU,JP,184,184,72.41,67431,11,93130,3443,114761
JAMES GITHUA KAMAU WAMACUKURU,KABETE,KIAMBU,JP,139,139,94.47,68364,15,72366,426,85446
PAUL KOINANGE,KIAMBAA,KIAMBU,JP,154,154,76.6,60407,6,78864,532,95413
JUDE L KANGETHE NJOMO,KIAMBU,KIAMBU,JP,132,132,97.79,66116,0,67609,1121,80730
ANTHONY KIMANI ICHUNG`WAH,KIKUYU,KIAMBU,JP,1,149,0.0,0,0,0,0,91157
JONAH MBURU MWANGI,LARI,KIAMBU,JP,142,142,76.09,51454,1,67624,243,76655
PETER MUNGAI MWATHI,LIMURU,KIAMBU,JP,153,153,59.16,43350,1,73276,871,87258
SIMON NGANGA KINGARA,RUIRU,KIAMBU,JP,240,240,87.15,108665,1,124685,1156,159337
PATRICK KIMANI WAINAINA JUNGLE,THIKA TOWN,KIAMBU,IND,230,230,52.39,60553,5,115574,857,147323
TEDDY NGUMBAO MWAMBIRE,GANZE,KILIFI,ODM,132,132,38.76,14703,3,37935,328,54760
PAUL KAHINDI KATANA,KALOLENI,KILIFI,ODM,123,123,44.97,17093,0,38007,417,60470
OWEN YAA BAYA,KILIFI NORTH,KILIFI,ODM,181,182,43.3,27588,0,63719,722,101978
RICHARD KEN CHONGA KITI,KILIFI SOUTH,KILIFI,ODM,147,147,67.15,36449,0,54276,1036,84865
MICHAEL THOYAH KINGI,MAGARINI,KILIFI,ODM,157,157,41.81,19186,5,45887,1411,68453
AISHA JUMWA KARISA KATANA,MALINDI,KILIFI,ODM,154,154,52.47,29150,2,55552,1169,87210
WILLIAM KAMOTI MWAMKALE,RABAI,KILIFI,ODM,93,93,58.84,18318,0,31131,366,50332
ROBERT GICHIMU GITHINJI,GICHUGU,KIRINYAGA,JP,168,168,92.28,68521,0,74255,485,85352
JOHN MUNENE WAMBUGU,KIRINYAGA CENTRAL,KIRINYAGA,JP,139,140,42.73,27845,4,65169,1304,76021
JOSPHAT KABINGA WACHIRA,MWEA,KIRINYAGA,JP,222,222,68.55,70472,1,102797,3485,122380
GEORGE MACHARIA  KARIUKI GK,NDIA,KIRINYAGA,JP,129,129,53.66,30720,0,57247,1643,66083
INNOCENT MOMANYI OBIRI,BOBASI,KISII,PDP,184,184,37.65,25457,1,67608,1402,89310
ZADOC ABEL OGUTU,BOMACHOGE BORABU,KISII,IND,105,105,39.37,14112,1,35845,317,49081
MIRUKA ONDIEKI ALFAH,BOMACHOGE CHACHE,KISII,KNC,89,89,61.94,19711,0,31825,830,41745
JOHN OROO OYIOKA,BONCHARI,KISII,PDP,102,102,30.84,12043,0,39053,429,52624
JIMMY  NURU ONDIEKI ANGWENYI,KITUTU CHACHE NORTH,KISII,JP,105,106,45.4,16097,0,35456,1338,50665
RICHARD NYAGAKA TONGI,NYARIBARI CHACHE,KISII,JP,145,149,24.77,13812,0,55760,1150,77729
EZEKIEL MACHOGU OMBAKI,NYARIBARI MASABA,KISII,NAPK,132,132,35.91,15902,81,44278,499,59064
SILVANUS OSORO ONYIEGO,SOUTH MUGIRANGO,KISII,KNC,144,144,21.75,11168,0,51358,1838,67345
FRED ODHIAMBO OUDA,KISUMU CENTRAL,KISUMU,ODM,196,196,88.48,81737,0,92376,862,120023
SHAKEEL AHMED SHABBIR AHMED,KISUMU EAST,KISUMU,IND,139,141,52.64,33937,6,64472,420,81538
JOHN OLAGO ALUOCH,KISUMU WEST,KISUMU,FORD-KENYA,142,142,57.02,33731,3,59161,435,74439
PATRICK AYIECHO OLWENY,MUHORONI,KISUMU,ODM,40,142,86.58,14588,0,16850,965,69091
JOSHUA ADUMA OWUOR,NYAKACH,KISUMU,ODM,144,147,95.99,54236,1,56503,319,68884
JARED ODOYO OKELO,NYANDO,KISUMU,ODM,148,148,99.26,60422,7,60872,304,71680
JAMES WAMBURA NYIKAL,SEME,KISUMU,ODM,111,111,73.69,32678,477,44343,778,53555
BENSON MAKALI MULU,KITUI CENTRAL,KITUI,WDM-K,182,183,43.41,22272,12,51302,832,70736
NIMROD MBITHUKA MBAI,KITUI EAST,KITUI,JP,174,174,32.37,14330,4,44266,2420,57290
DAVID MWALIKA MBONI,KITUI RURAL,KITUI,CCU,147,147,37.51,13790,6,36764,799,49614
RACHAEL KAKI NYAMAI,KITUI SOUTH,KITUI,JP,234,234,43.52,22753,1,52281,747,68185
FRANCIS MWANZIA NYENZE,KITUI WEST,KITUI,WDM-K,143,143,54.3,21540,0,39668,269,52042
GIDEON MUTEMI MULYUNGI,MWINGI CENTRAL,KITUI,WDM-K,194,194,64.06,29872,1,46631,1234,63305
PAUL MUSYIMI NZENGU,MWINGI NORTH,KITUI,WDM-K,223,223,50.16,23589,0,47029,849,61491
CHARLES NGUSYA NGUNA,MWINGI WEST,KITUI,WDM-K,156,156,36.19,14820,0,40950,820,51849
BENJAMIN DALU STEPHEN TAYARI,KINANGO,KWALE,ODM,212,212,63.64,37066,0,58241,1782,85106
KHATIB ABDALLAH MWASHETANI,LUNGALUNGA,KWALE,JP,118,118,34.9,12359,1,35412,562,56948
KASSIM SAWA TANDAZA,MATUGA,KWALE,ANC,27,153,49.66,3533,0,7115,67,70366
SULEIMAN DORI RAMADHANI,MSAMBWENI,KWALE,ODM,129,129,50.18,22391,1,44619,1063,68621
AMIN DEDDY MOHAMED ALI,LAIKIPIA EAST,LAIKIPIA,JP,177,177,77.32,56624,0,73235,528,88886
SARAH PAULATA KORERE,LAIKIPIA NORTH,LAIKIPIA,JP,128,128,32.12,10767,1,33526,916,46671
PATRICK KARIUKI MARIRU,LAIKIPIA WEST,LAIKIPIA,JP,226,226,69.89,64343,2,92066,742,110930
SHARIF ATHMAN ALI,LAMU EAST,LAMU,JP,45,45,34.02,4692,0,13792,626,18234
STANLEY MUIRURI MUTHAMA,LAMU WEST,LAMU,MCCP,122,122,31.13,11090,21,35630,1201,51542
FABIAN KYULE MULI,KANGUNDO,MACHAKOS,MUUNGANO,120,120,36.46,15327,0,42033,1096,53475
ROBERT MBUI,KATHIANI,MACHAKOS,WDM-K,113,113,91.23,40082,3,43934,518,54909
VICTOR KIOKO MUNYAKA,MACHAKOS TOWN,MACHAKOS,JP,213,213,53.59,44122,5,82334,1394,109877
JOSHUA MBITHI MWALYO,MASINGA,MACHAKOS,WDM-K,170,170,46.93,23015,1,49046,723,61989
STEPHEN  MUTINDA MULE,MATUNGULU,MACHAKOS,WDM-K,145,145,44.4,22311,0,50249,1129,66611
PATRICK MAKAU KING'OLA,MAVOKO,MACHAKOS,WDM-K,188,189,60.45,49452,5,81803,1649,118180
VINCENT MUSYOKA MUSAU,MWALA,MACHAKOS,MCCP,213,213,56.37,35976,5,63824,963,81273
CHARLES MUTAVI KILONZO,YATTA,MACHAKOS,IND,169,169,32.52,18320,5,56338,599,73940
JOSHUA KIVINDA KIMILU,KAITI,MAKUENI,WDM-K,144,144,48.93,22584,0,46154,204,57952
JESSICA NDUKU KIKO MBALU,KIBWEZI EAST,MAKUENI,WDM-K,151,151,59.59,26131,0,43853,515,57628
PATRICK MWEU MUSIMBA,KIBWEZI WEST,MAKUENI,IND,194,194,70.13,44514,1,63477,2114,80805
THUDDEUS KITHUA NZAMBIA,KILOME,MAKUENI,WDM-K,108,108,55.92,21396,1,38264,1464,50232
DANIEL KITONGA MAANZO,MAKUENI,MAKUENI,WDM-K,225,225,73.09,52422,1,71721,2175,90817
